ACCIDENT_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE,Suburbs,TOTAL_PERSONS,ACCIDENT_TYPE
18.08.00,Wednesday,144.97681,-37.84944,PORT PHILLIP,8,Collision with vehicle
18.10.00,Wednesday,145.23276,-37.92958,KNOX,3,Collision with vehicle
19.20.00,Wednesday,145.05533,-37.89829,GLEN EIRA,2,Struck Pedestrian
18.45.00,Wednesday,144.56446,-37.68786,MELTON,6,Collision with vehicle
19.15.00,Wednesday,145.24779,-37.98467,CASEY,1,No collision and no object struck
21.45.00,Wednesday,146.95836,-38.10069,WELLINGTON,2,Collision with vehicle
04.40.00,Thursday,144.3951,-38.16852,GEELONG,2,Collision with a fixed object
22.00.00,Wednesday,146.17093,-38.21635,BAW BAW,1,Collision with a fixed object
17.00.00,Saturday,145.09831,-37.82046,BOROONDARA,2,Struck Pedestrian
20.30.00,Monday,144.98056,-37.86708,PORT PHILLIP,1,Vehicle overturned (no collision)
18.15.00,Thursday,144.88213,-37.82027,MARIBYRNONG,2,Collision with vehicle
18.47.00,Thursday,146.29477,-38.1799,LATROBE,3,Collision with vehicle
18.55.00,Thursday,145.04028,-37.90398,GLEN EIRA,2,Struck Pedestrian
18.32.00,Thursday,143.84293,-37.56037,BALLARAT,2,Collision with vehicle
20.00.00,Thursday,145.1367,-38.11824,FRANKSTON,1,Vehicle overturned (no collision)
19.35.00,Thursday,145.39963,-37.6396,YARRA RANGES,1,Collision with a fixed object
23.40.00,Tuesday,147.74866,-37.81553,EAST GIPPSLAND,2,Struck animal
03.05.00,Friday,144.67557,-38.11583,GEELONG,1,Collision with a fixed object
19.00.00,Wednesday,145.01844,-37.74208,DAREBIN,2,Collision with vehicle
14.30.00,Saturday,144.92781,-37.7638,MOONEE VALLEY,2,Collision with vehicle
15.56.00,Saturday,144.9991,-37.89889,BAYSIDE,1,Vehicle overturned (no collision)
14.30.00,Saturday,146.33764,-38.66668,SOUTH GIPPSLAND,5,Collision with vehicle
15.35.00,Saturday,144.98039,-37.85798,PORT PHILLIP,7,Collision with vehicle
15.30.00,Saturday,145.23397,-37.92328,KNOX,6,Collision with vehicle
17.00.00,Saturday,145.34772,-37.95405,YARRA RANGES,2,Collision with vehicle
18.20.00,Saturday,144.31077,-38.18327,GEELONG,2,Struck Pedestrian
21.15.00,Saturday,145.95018,-38.46846,SOUTH GIPPSLAND,1,Collision with a fixed object
22.00.00,Saturday,144.83989,-37.78828,BRIMBANK,2,Collision with vehicle
15.33.00,Saturday,144.94248,-37.75665,MORELAND,3,Struck Pedestrian
03.15.00,Sunday,146.48857,-38.19945,LATROBE,2,Struck Pedestrian
18.15.00,Wednesday,145.08829,-37.65125,WHITTLESEA,2,Collision with vehicle
18.15.00,Monday,142.90669,-38.23865,CORANGAMITE,2,Collision with vehicle
09.30.00,Sunday,142.20226,-36.71176,HORSHAM,4,Collision with vehicle
09.50.00,Sunday,147.72203,-37.91701,EAST GIPPSLAND,3,Collision with vehicle
16.15.00,Friday,145.16844,-38.10435,FRANKSTON,2,Collision with vehicle
16.32.00,Sunday,145.13177,-38.16567,FRANKSTON,1,Collision with a fixed object
18.25.00,Sunday,144.9458,-37.75358,MORELAND,3,Collision with vehicle
16.28.00,Sunday,145.02515,-37.90674,GLEN EIRA,1,Collision with a fixed object
05.00.00,Monday,145.21686,-37.83229,MAROONDAH,2,Collision with vehicle
08.30.00,Sunday,144.93216,-37.82194,MELBOURNE,2,Collision with vehicle
18.15.00,Friday,145.00249,-37.74252,DAREBIN,2,Struck Pedestrian
00.50.00,Sunday,143.84564,-37.56254,BALLARAT,2,Struck Pedestrian
19.55.00,Monday,144.91032,-37.74155,MOONEE VALLEY,2,Collision with vehicle
20.00.00,Monday,144.83388,-37.75471,BRIMBANK,3,Collision with vehicle
22.00.00,Monday,144.80102,-37.75462,BRIMBANK,1,Collision with vehicle
